id,question,response,label,category
1,"U kojem je desetljeću izašao prvi film o Jamesu Bondu?","1960-ih.","pass","films_and_series"
2,"Kako se zove glavni lik u seriji Breaking Bad?","Walter White.","pass","films_and_series"
3,"Tko je režirao film Inception?","Christopher Nolan.","pass","films_and_series"
4,"Koja je najdugovječnija animirana serija u SAD-u?","Family Guy.","fail","films_and_series"
5,"U kojem se fiktivnom gradu odvija radnja MCU filma Black Panther?","Wakanda.","pass","films_and_series"
6,"Tko je glumio Jacka Dawsona u Titanicu?","Leonardo DiCaprio.","pass","films_and_series"
7,"Kako se zove fantastična zemlja u kojoj se odvija radnja Gospodara prstenova?","Narnia.","fail","films_and_series"
8,"Koji je žanr serije Stranger Things?","Horror i sci-fi kombinacija.","pass","films_and_series"
9,"Tko je režirao originalnu trilogiju Ratova zvijezda (IV–VI)?","George Lucas.","pass","films_and_series"
10,"Koja serija prati obitelj Stark?","The Witcher.","fail","films_and_series"
11,"U kojem je filmu Heath Ledger glumio Jokera?","The Dark Knight.","pass","films_and_series"
12,"Kako se zove najveći zmaj u seriji Game of Thrones?","Smaug.","fail","films_and_series"
13,"Koji je Pixarov film prvi osvojio Oscar za najbolji animirani film?","Toy Story.","fail","films_and_series"
14,"Koja je streaming platforma producirala seriju The Crown?","Netflix.","pass","films_and_series"
15,"Kako se zove glavni negativac u filmu Avengers: Infinity War?","Thanos.","pass","films_and_series"
16,"Tko je glumio Harryja Pottera u filmskoj franšizi?","Daniel Radcliffe.","pass","films_and_series"
17,"Koja serija prati detektiva po imenu Sherlock Holmes u suvremenom Londonu?","Sherlock.","pass","films_and_series"
18,"Kako se zove glavni grad Panema u Igrama gladi?","City Capitol.","fail","films_and_series"
